character_id,role_type,trait_key,source_file
AFA_sultan_mohamed_yayyo_of_aussa,field_marshal,politically_connected,AFA.txt
AFA_sultan_mohamed_yayyo_of_aussa,field_marshal,irregulars_officer,AFA.txt
AFA_sultan_mohamed_yayyo_of_aussa,country_leader,rich_sultan,AFA.txt
AFG_mohammad_hashim_khan,country_leader,IRQ_nationalist,AFG.txt
AFG_akram_sattari,country_leader,captain_of_industry,AFG.txt
AFG_akram_sattari,country_leader,dealbroker,AFG.txt
AFG_sardar_shah_wali_khan,corps_commander,desert_fox,AFG.txt
AFG_hares_muzafar,advisor,army_entrenchment_2,AFG.txt
AFG_asadullah_seraj_khan,advisor,army_chief_defensive_2,AFG.txt
AFG_gholam_wali,advisor,air_chief_ground_support_2,AFG.txt
AFG_nasirullah_husain,advisor,navy_chief_decisive_battle_2,AFG.txt
AFG_muhammad_amin_bughra,advisor,military_theorist,AFG.txt
AFG_azam_ataullah,advisor,army_infantry_3,AFG.txt
AFG_mohammed_daoud_khan,advisor,army_armored_2,AFG.txt
AFG_mohammed_daoud_khan,corps_commander,cavalry_leader,AFG.txt
AFG_mohammed_daoud_khan,corps_commander,engineer_officer,AFG.txt
AFG_renato_bardolucci,advisor,air_warfare_theorist,AFG.txt
AFG_ali_muhammed_khan,advisor,air_chief_reform_2,AFG.txt
AFG_mohammed_etemadi_khan,advisor,navy_chief_naval_aviation_2,AFG.txt
AFG_aalem_daana,advisor,navy_screen_2,AFG.txt
AFG_wazir_akbar_khan,advisor,army_chief_morale_2,AFG.txt
AFG_mahmud_khan,advisor,prince_of_terror,AFG.txt
AFG_haji_faiz_muhammed_zikeria,advisor,ideological_crusader,AFG.txt
AFG_muhammed_nowroz,advisor,armaments_organizer,AFG.txt
AFG_abdur_rahim_khan,corps_commander,cavalry_officer,AFG.txt
AFG_mahmud_tarzi,advisor,army_chief_organizational_2,AFG.txt
AFG_mahmud_tarzi,corps_commander,infantry_officer,AFG.txt
AFG_abdul_majid_zabuli,advisor,financial_expert,AFG.txt
AFG_abdul_hai_habibi,advisor,education_reformer,AFG.txt
AFG_ghulam_yahya_khan_tarzi,advisor,AFG_director_of_public_health,AFG.txt
AFG_qiamuddin_khadim,advisor,socialist_journalist,AFG.txt
AFG_ghulam_muhammad_ghobar,advisor,SWI_social_democrat,AFG.txt
AFG_turbaz_khan,advisor,head_of_intelligence,AFG.txt
AFG_turbaz_khan,advisor,military_theorist,AFG.txt
AFG_mohammad_gul_khan_momand,advisor,pashtun_nationalist,AFG.txt
AFG_shah_mahmud_khan,advisor,AFG_safe_hands,AFG.txt
AFG_soraya_tarzi,advisor,education_reformer,AFG.txt
AFG_abdurauf_fitrat,advisor,AFG_uzbek_scholar,AFG.txt
AFG_fayzulla_xojayev,advisor,AFG_bukharan_jadidist,AFG.txt
AFG_korsirmat,advisor,AFG_kokandi_insurrecionist,AFG.txt
AFG_junaid_khan,advisor,AFG_turkmen_khan,AFG.txt
AFG_placeholder_fascist,advisor,AUS_fascist_writer,AFG.txt
AFG_inyatullah_khan,advisor,AFG_royal_figurehead_trait,AFG.txt
AFG_nur_muhammad_taraki,advisor,AFG_red_shirt_trait,AFG.txt
AFG_sheikh_omar_mojadidi,advisor,AFG_influential_spiritual_leader_trait,AFG.txt
AFG_sher_khan_nashir,advisor,AFG_father_of_kunduz_trait,AFG.txt
AFG_abdul_hadi_dawi,advisor,JAP_minister_of_finance,AFG.txt
AFG_generic_american_1,advisor,war_industrialist,AFG.txt
AFG_generic_american_2,advisor,economist,AFG.txt
AFG_generic_american_3,advisor,armaments_organizer,AFG.txt
AFG_faqir_of_ipi,field_marshal,organizer,AFG.txt
