bookmark_name,country_tag,ideology_key
BLITZKRIEG_NAME,CAN,democratic
BLITZKRIEG_NAME,AST,democratic
BLITZKRIEG_NAME,NZL,democratic
BLITZKRIEG_NAME,SAF,democratic
BLITZKRIEG_NAME,ROM,neutrality
BLITZKRIEG_NAME,YUG,neutrality
BLITZKRIEG_NAME,CHI,neutrality
BLITZKRIEG_NAME,PRC,communism
BLITZKRIEG_NAME,MAN,fascism
BLITZKRIEG_NAME,GXC,fascism
BLITZKRIEG_NAME,YUN,fascism
BLITZKRIEG_NAME,XSM,fascism
BLITZKRIEG_NAME,SIK,fascism
BLITZKRIEG_NAME,MEX,neutrality
BLITZKRIEG_NAME,HOL,democratic
BLITZKRIEG_NAME,SPR,fascism
BLITZKRIEG_NAME,POR,democratic
BLITZKRIEG_NAME,BUL,neutrality
BLITZKRIEG_NAME,GRE,neutrality
BLITZKRIEG_NAME,TUR,neutrality
BLITZKRIEG_NAME,LIT,neutrality
BLITZKRIEG_NAME,LAT,neutrality
BLITZKRIEG_NAME,EST,neutrality
BLITZKRIEG_NAME,POL,neutrality
BLITZKRIEG_NAME,SWI,democratic
BLITZKRIEG_NAME,AFG,neutrality
GATHERING_STORM_NAME,FRA,democratic
GATHERING_STORM_NAME,USA,democratic
GATHERING_STORM_NAME,ENG,democratic
GATHERING_STORM_NAME,ITA,fascism
GATHERING_STORM_NAME,SOV,communism
GATHERING_STORM_NAME,CAN,democratic
GATHERING_STORM_NAME,AST,democratic
GATHERING_STORM_NAME,NZL,democratic
GATHERING_STORM_NAME,SAF,democratic
GATHERING_STORM_NAME,CZE,democratic
GATHERING_STORM_NAME,ROM,neutrality
GATHERING_STORM_NAME,YUG,neutrality
GATHERING_STORM_NAME,CHI,neutrality
GATHERING_STORM_NAME,PRC,communism
GATHERING_STORM_NAME,MAN,fascism
GATHERING_STORM_NAME,GXC,fascism
GATHERING_STORM_NAME,YUN,fascism
GATHERING_STORM_NAME,SHX,fascism
GATHERING_STORM_NAME,XSM,fascism
GATHERING_STORM_NAME,SIK,fascism
GATHERING_STORM_NAME,MEX,neutrality
GATHERING_STORM_NAME,HOL,democratic
GATHERING_STORM_NAME,SPR,democratic
GATHERING_STORM_NAME,POR,democratic
GATHERING_STORM_NAME,BUL,neutrality
GATHERING_STORM_NAME,GRE,neutrality
GATHERING_STORM_NAME,TUR,neutrality
GATHERING_STORM_NAME,LIT,neutrality
GATHERING_STORM_NAME,LAT,neutrality
GATHERING_STORM_NAME,EST,neutrality
GATHERING_STORM_NAME,POL,neutrality
GATHERING_STORM_NAME,ETH,neutrality
