strategic_region_id,province_id
1,221
1,271
1,296
1,322
1,364
1,507
1,540
1,3241
1,3287
1,3301
1,3353
1,3369
1,3422
1,3463
1,3501
1,6103
1,6221
1,6237
1,6270
1,6301
1,6351
1,6378
1,6489
1,6526
1,7239
1,9239
1,9250
1,9268
1,9297
1,9322
1,9458
1,9484
1,9562
1,11221
1,11253
1,11279
1,11333
1,11345
1,11374
1,11406
1,11446
1,11471
1,13070
10,35
10,69
10,147
10,161
10,171
10,211
10,242
10,295
10,299
10,329
10,363
10,383
10,3063
10,3106
10,3128
10,3141
10,3182
10,3229
10,3286
10,3307
10,3375
10,3386
10,6028
10,6050
10,6084
10,6120
10,6127
10,6148
10,6164
10,6188
10,6195
10,6209
10,6310
10,6311
10,6331
10,6345
10,6397
10,6406
10,6412
10,9054
10,9109
10,9138
10,9149
10,9185
10,9209
10,9218
10,9251
10,9279
10,9300
10,9308
10,9329
10,9362
10,9393
10,9406
10,9410
10,11044
10,11070
10,11082
10,11114
10,11160
10,11163
10,11188
10,11215
10,11231
10,11278
10,11280
10,11289
10,11311
10,11327
10,11376
10,11380
10,11390
10,13095
10,13096
10,13097
10,13098
10,13264
10,13265
100,2753
100,2776
100,2800
100,2825
100,5383
100,5388
100,8742
100,8766
100,8788
101,2240
101,2266
101,2292
101,2318
101,2342
101,2368
101,2392
101,5692
101,5718
101,5745
101,5770
101,5797
101,5823
101,5850
101,5873
101,5900
101,5923
101,5947
101,5971
101,5994
101,6037
101,6244
101,6443
101,6633
101,6825
101,7029
101,7253
101,7479
101,7705
101,7933
101,8151
101,8287
101,8313
101,8339
101,8366
101,8392
101,8417
101,10321
101,12251
102,2605
102,2631
102,2654
102,2680
102,2704
102,2730
102,4694
102,4917
102,5130
102,5246
102,5271
102,5298
102,5324
102,5347
102,5369
102,5394
102,5418
102,5442
102,5466
102,5518
102,8639
102,8665
102,13072
103,2409
103,2432
103,2456
103,2480
103,5247
103,5299
103,5325
103,5348
103,5370
103,5543
103,5619
103,8691
104,427
104,608
104,802
104,1007
104,1902
104,2118
104,2320
104,2394
104,2419
104,2443
104,2467
104,2493
104,2517
104,2540
104,2564
104,2590
104,2617
104,2640
104,2716
104,2739
104,2762
104,2787
104,2811
104,2835
104,2848
104,2859
104,2872
104,2943
104,2967
105,4180
105,4894
105,5314
105,5339
105,5402
105,5527
105,5551
105,5558
105,5575
105,5582
105,5601
105,5627
105,5652
105,5677
105,5703
105,5729
105,5755
105,5781
105,5807
105,5833
105,5859
105,5885
105,5908
105,5932
105,5958
105,5980
105,5982
105,6003
105,6005
105,6065
105,6267
105,6272
105,6467
