template_name,location_province_id,start_experience_factor,source_file
,,,AFA_1936.txt
,,,AFA_1936.txt
,,,AFA_1936.txt
,,,AFA_1936.txt
Royal Guard,10737,0.3,AFG_1936.txt
,,,AFG_1936.txt
,,,AFG_1936.txt
,,,AFG_1936.txt
,,,AFG_1936.txt
,,,AFG_1936.txt
,,,AFG_1936.txt
,,,AFG_1936.txt
,,,AFG_1936.txt
Royal Guard,10737,0.3,AFG_1936_nsb.txt
,,,AFG_1936_nsb.txt
,,,AFG_1936_nsb.txt
,,,AFG_1936_nsb.txt
,,,AFG_1936_nsb.txt
,,,AFG_1936_nsb.txt
,,,AFG_1936_nsb.txt
,,,AFG_1936_nsb.txt
,,,AFG_1936_nsb.txt
,,,AFG_1936_nsb.txt
Royal Guard,10737,0.3,AFG_1939.txt
,,,AFG_1939.txt
,,,AFG_1939.txt
,,,AFG_1939.txt
,,,AFG_1939.txt
,,,AFG_1939.txt
,,,AFG_1939.txt
,,,AFG_1939.txt
,,,AFG_1939.txt
,,,ALB_1936.txt
,,,ARG_1936.txt
,,,ARG_1936.txt
,,,ARG_1936.txt
,,,ARG_1936.txt
,,,ARG_1936.txt
División de Caballería,12364,0.1,ARG_1936.txt
Brigada Montaña,10992,0.1,ARG_1936.txt
Brigada Montaña,8216,0.1,ARG_1936.txt
,,,ARG_1939.txt
,,,ARG_1939.txt
,,,ARG_1939.txt
,,,ARG_1939.txt
,,,ARG_1939.txt
División de Caballería,12364,0.1,ARG_1939.txt
Brigada Montaña,10992,0.1,ARG_1939.txt
Brigada Montaña,8216,0.1,ARG_1939.txt
,,,AST_1936.txt
,,,AST_1936.txt
,,,AST_1936.txt
,,,AST_1936.txt
,,,AST_1936.txt
,,,AST_1936.txt
,,,AST_1936.txt
,,,AST_1939.txt
,,,AST_1939.txt
,,,AST_1939.txt
,,,AST_1939.txt
,,,AST_1939.txt
,,,AST_1939.txt
,,,AST_1939.txt
,,,AST_1939.txt
Rats of Tobruk,1130,0.3,AST_TFV_rats_africa.txt
Rats of Tobruk,12406,0.3,AST_TFV_rats_australia.txt
Schnelle Division,11666,0.1,AUS_1936.txt
,,,AUS_1936.txt
,,,AUS_1936.txt
,,,AUS_1936.txt
,,,AUS_1936.txt
,,,AUS_1936.txt
Schnelle Division,11666,0.1,AUS_ww_1936.txt
,,,AUS_ww_1936.txt
,,,AUS_ww_1936.txt
,,,AUS_ww_1936.txt
,,,AUS_ww_1936.txt
,,,AUS_ww_1936.txt
,,,BEL_1936.txt
,,,BEL_1936.txt
,,,BEL_1936.txt
,,,BEL_1936.txt
,,,BEL_1936.txt
,,,BEL_1936.txt
,,,BEL_1936.txt
Cavalerie Motorisée,13068,0.3,BEL_1936.txt
,,,BEL_1936.txt
,,,BEL_1936.txt
Division Coloniale,10968,0.1,BEL_1936.txt
,,,BEL_1939.txt
,,,BEL_1939.txt
,,,BEL_1939.txt
,,,BEL_1939.txt
,,,BEL_1939.txt
,,,BEL_1939.txt
,,,BEL_1939.txt
,,,BEL_1939.txt
,,,BEL_1939.txt
,,,BEL_1939.txt
,,,BEL_1939.txt
,,,BEL_1939.txt
,,,BEL_1939.txt
,,,BEL_1939.txt
Cavalerie Motorisée,6537,0.3,BEL_1939.txt
,,,BEL_1939.txt
,,,BEL_1939.txt
Division Coloniale,10968,0.1,BEL_1939.txt
,,,BEL_WW_1936.txt
,,,BEL_WW_1936.txt
,,,BEL_WW_1936.txt
,,,BEL_WW_1936.txt
,,,BEL_WW_1936.txt
,,,BEL_WW_1936.txt
,,,BEL_WW_1936.txt
,,,BEL_WW_1936.txt
,,,BEL_WW_1936.txt
,,,BEL_WW_1936.txt
,,,BEL_WW_1936.txt
,,,BEL_WW_1936.txt
,,,BEL_WW_1936.txt
,,,BEL_WW_1936_lar.txt
,,,BEL_WW_1936_lar.txt
,,,BEL_WW_1936_lar.txt
,,,BEL_WW_1936_lar.txt
,,,BEL_WW_1936_lar.txt
,,,BEL_WW_1936_lar.txt
,,,BEL_WW_1936_lar.txt
,,,BEL_WW_1936_lar.txt
,,,BEL_WW_1936_lar.txt
,,,BEL_WW_1936_lar.txt
,,,BEL_WW_1936_lar.txt
